상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,캠페인 이름,캠페인 ID,기간,캠페인 목적,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),구매완료 수,구매완료 전환매출액,총 전환율(%),총 광고수익률(%)
A,13561980399,91106490766,A,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4049,5,524,0.77,1,1000,0,0
B,13467375760,91011886112,A,1548292,2026.09.20.,ADVoost 쇼핑,100,100,11905,5,1043,1.14,1,1000,2.44,6500.92
C,13313410333,90857920665,V,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4947,5,766,0.65,1,1000,0,0
E,13135789727,90680300819,V,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4518,5,1031,0.44,1,1000,8.43,27932.05
D,13104434824,90648945916,V,1546871,2026.09.20.,ADVoost 쇼핑,100,100,12677,5,763,1.66,1,1000,0,0
G,13104174800,90648685892,V,1546871,2026.09.20.,ADVoost 쇼핑,100,100,11774,5,1072,1.1,1,1000,15,57494.92
DH,13104153125,90648664217,V,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4472,5,737,0.61,1,1000,3.13,17799.69
DF,13104126163,90648637255,V,1546871,2026.09.20.,ADVoost 쇼핑,100,100,3709,5,701,0.53,1,1000,0,0
XCBV,13104019925,90648531017,B,1546896,2026.09.20.,ADVoost 쇼핑,100,100,11947,5,1038,1.15,1,1000,5.88,22089.98
AD,13104017249,90648528341,B,1546896,2026.09.20.,ADVoost 쇼핑,100,100,19516,5,1347,1.45,1,1000,0,0
SD,13104011931,90648523023,B,1546896,2026.09.20.,ADVoost 쇼핑,100,100,12410,5,1084,1.14,1,1000,4.35,18241.74
RET,13103999440,90648510532,B,1546896,2026.09.20.,ADVoost 쇼핑,100,100,10185,5,876,1.16,1,1000,0,0
EW,12936235661,90480746670,G,1548738,2026.09.20.,ADVoost 쇼핑,100,100,5244,5,1842,0.28,1,1000,0,0
RET,12936234647,90480745657,G,1548738,2026.09.20.,ADVoost 쇼핑,100,100,4019,5,3528,0.11,1,1000,0,0
XCBV,12936233537,90480744547,G,1548738,2026.09.20.,ADVoost 쇼핑,100,100,20787,5,2294,0.91,1,1000,8.33,3263.02
FRG,12936230150,90480741160,G,1548738,2026.09.20.,ADVoost 쇼핑,100,100,2673,5,1159,0.23,1,1000,23.08,121858.54
EDF,12931276896,90475787906,H,1548460,2026.09.20.,ADVoost 쇼핑,100,100,5721,5,1127,0.51,1,1000,21.05,28222.82
DF,12842942385,90387453377,H,1546896,2026.09.20.,ADVoost 쇼핑,100,100,9944,5,732,1.36,1,1000,0,0
SDF,12583962077,90128472933,H,1548613,2026.09.20.,ADVoost 쇼핑,100,100,18327,5,1104,1.66,1,1000,8.7,98808.23
SDF,12583930131,90128440987,H,1548613,2026.09.20.,ADVoost 쇼핑,100,100,5568,5,1045,0.53,1,1000,4.88,29995.5
SDF,12149083477,89693594182,H,1548738,2026.09.20.,ADVoost 쇼핑,100,100,8962,5,1881,0.48,1,1000,3.45,2092.03
DF,12149080721,89693591426,H,1548738,2026.09.20.,ADVoost 쇼핑,100,100,13475,5,1667,0.81,1,1000,3.13,2811.11
E,12149079624,89693590329,H,1548738,2026.09.20.,ADVoost 쇼핑,100,100,3430,5,880,0.39,1,1000,0,0
W,12149078121,89693588826,H,1548738,2026.09.20.,ADVoost 쇼핑,100,100,17069,5,3163,0.54,1,1000,14.29,5140.57
A,12148186054,89692696759,H,1548460,2026.09.20.,ADVoost 쇼핑,100,100,8176,5,1050,0.78,1,1000,6.9,5399.12
A,12148183445,89692694150,H,1548460,2026.09.20.,ADVoost 쇼핑,100,100,5917,5,1367,0.43,1,1000,0,0
A,12134150562,89678661266,H,1546896,2026.09.20.,ADVoost 쇼핑,100,100,6428,5,1075,0.6,1,1000,8,33584.46
A,11842573375,89387083969,H,1548613,2026.09.20.,ADVoost 쇼핑,100,100,6322,5,847,0.75,1,1000,3.96,42310.74
DF,11705620737,89250131204,H,1548738,2026.09.20.,ADVoost 쇼핑,100,100,20252,5,1729,1.17,1,1000,0,0
DF,11687985671,89232496138,H,1548292,2026.09.20.,ADVoost 쇼핑,100,100,12638,5,1519,0.83,1,1000,5.41,26901.06
DF,11634856754,89179367199,H,1548613,2026.09.20.,ADVoost 쇼핑,100,100,8190,5,982,0.83,1,1000,6.45,26438.67
DF,11524449043,89068959449,H,1548460,2026.09.20.,ADVoost 쇼핑,100,100,9757,5,1281,0.76,1,1000,7.41,15202.59
DF,11514491040,89059001413,H,1546896,2026.09.20.,ADVoost 쇼핑,100,100,6820,5,1004,0.68,1,1000,13.79,64217.75
DF,11461052020,89005562385,H,1548460,2026.09.20.,ADVoost 쇼핑,100,100,5941,5,1218,0.49,1,1000,8.93,13179.87
W,11359586580,88904096931,H,1546871,2026.09.20.,ADVoost 쇼핑,100,100,6206,5,910,0.68,1,1000,0,0
W,10634686115,88179191925,W,1548460,2026.09.20.,ADVoost 쇼핑,100,100,10896,5,895,1.22,1,1000,2.08,3213.69
GFH,10634670538,88179176348,W,1548460,2026.09.20.,ADVoost 쇼핑,100,100,10773,5,1817,0.59,1,1000,8.33,3164.6
GFH,10628496831,88173002641,W,1548292,2026.09.20.,ADVoost 쇼핑,100,100,1713,5,615,0.28,1,1000,0,0
FGH,10628333611,88172839421,W,1548292,2026.09.20.,ADVoost 쇼핑,100,100,3807,5,871,0.44,1,1000,17.65,3694.78
FGN,10493313637,88037818938,W,1548292,2026.09.20.,ADVoost 쇼핑,100,100,12884,5,1381,0.93,1,1000,3.23,3128.95
FGH,10434260564,87978765599,W,1548292,2026.09.20.,ADVoost 쇼핑,100,100,4672,5,929,0.5,1,1000,5.05,7285.78
ASD,10361160646,87905665279,W,1548292,2026.09.20.,ADVoost 쇼핑,100,100,5606,5,662,0.85,1,1000,17.14,9740.58
