광고 그룹 이름,광고 그룹 ID,캠페인 이름,캠페인 ID,기간,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,시작일,종료일,노출수,클릭수,구매완료 수,구매완료 전환매출액
A,4614279,A,1583256,2026.09.20.,40,클릭,887,클릭당,100,2026.09.16.,2026.09.30.,100,1,v,1000
A,4614279,A,1583256,2026.09.19.,35,클릭,1041,클릭당,100,2026.09.16.,2026.09.30.,100,1,0,1000
A,4614279,A,1583256,2026.09.18.,36,클릭,978,클릭당,100,2026.09.16.,2026.09.30.,100,1,0,1000
A,4614279,A,1583256,2026.09.17.,38,클릭,829,클릭당,100,2026.09.16.,2026.09.30.,100,1,0,1000
A,4614279,A,1583256,2026.09.16.,17,클릭,1316,클릭당,100,2026.09.16.,2026.09.30.,100,1,1,1000
B,4610465,A,1583586,2026.09.20.,11,클릭,1595,클릭당,100,2026.09.16.,진행 중,100,1,0,1000
B,4610465,A,1583586,2026.09.19.,12,클릭,1387,클릭당,100,2026.09.16.,진행 중,100,1,0,1000
B,4610465,A,1583586,2026.09.18.,13,클릭,1495,클릭당,100,2026.09.16.,진행 중,100,1,0,1000
B,4610465,A,1583586,2026.09.17.,14,클릭,1242,클릭당,100,2026.09.16.,진행 중,100,1,0,1000
B,4610465,A,1583586,2026.09.16.,15,클릭,1722,클릭당,100,2026.09.16.,진행 중,100,1,0,1000
A,4562535,C,1583586,2026.09.20.,89,클릭,1356,클릭당,100,2026.09.01.,진행 중,100,1,1,1000
A,4562535,C,1583586,2026.09.19.,91,클릭,1367,클릭당,100,2026.09.01.,진행 중,100,1,1,1000
A,4562535,C,1583586,2026.09.18.,88,클릭,1405,클릭당,100,2026.09.01.,진행 중,100,1,0,1000
A,4562535,C,1583586,2026.09.17.,90,클릭,1324,클릭당,100,2026.09.01.,진행 중,100,1,0,1000
A,4562535,C,1583586,2026.09.16.,106,클릭,1380,클릭당,100,2026.09.01.,진행 중,100,1,0,1000
A,4562535,C,1583586,2026.09.15.,120,클릭,1218,클릭당,100,2026.09.01.,진행 중,100,1,1,1000
A,4562535,C,1583586,2026.09.14.,106,클릭,1306,클릭당,100,2026.09.01.,진행 중,100,1,0,1000
B,4561882,D,1583256,2026.09.20.,146,클릭,975,클릭당,100,2026.09.01.,2026.09.30.,100,1,1,1000
B,4561882,D,1583256,2026.09.19.,164,클릭,890,클릭당,100,2026.09.01.,2026.09.30.,100,1,2,1000
B,4561882,D,1583256,2026.09.18.,133,클릭,1115,클릭당,100,2026.09.01.,2026.09.30.,100,1,2,1000
B,4561882,D,1583256,2026.09.17.,180,클릭,779,클릭당,100,2026.09.01.,2026.09.30.,100,1,3,1000
B,4561882,D,1583256,2026.09.16.,176,클릭,818,클릭당,100,2026.09.01.,2026.09.30.,100,1,1,1000
B,4561882,D,1583256,2026.09.15.,254,클릭,732,클릭당,100,2026.09.01.,2026.09.30.,100,1,0,1000
B,4561882,D,1583256,2026.09.14.,246,클릭,750,클릭당,100,2026.09.01.,2026.09.30.,100,1,1,1000
C,4560739,E,1548622,2026.09.20.,224,클릭,1539,클릭당,100,2026.09.01.,2026.09.30.,100,1,6,1000
C,4560739,E,1548622,2026.09.19.,240,클릭,1520,클릭당,100,2026.09.01.,2026.09.30.,100,1,7,1000
C,4560739,E,1548622,2026.09.18.,254,클릭,1509,클릭당,100,2026.09.01.,2026.09.30.,100,1,4,1000
C,4560739,E,1548622,2026.09.17.,256,클릭,1464,클릭당,100,2026.09.01.,2026.09.30.,100,1,4,1000
C,4560739,E,1548622,2026.09.16.,259,클릭,1485,클릭당,100,2026.09.01.,2026.09.30.,100,1,5,1000
C,4560739,E,1548622,2026.09.15.,267,클릭,1506,클릭당,100,2026.09.01.,2026.09.30.,100,1,7,1000
C,4560739,E,1548622,2026.09.14.,292,클릭,1418,클릭당,100,2026.09.01.,2026.09.30.,100,1,12,1000
F,4543516,F,1571243,2026.09.20.,205,클릭,702,클릭당,100,2026.08.20.,진행 중,100,1,3,1000
F,4543516,F,1571243,2026.09.19.,209,클릭,672,클릭당,100,2026.08.20.,진행 중,100,1,2,1000
F,4543516,F,1571243,2026.09.18.,213,클릭,679,클릭당,100,2026.08.20.,진행 중,100,1,2,1000
F,4543516,F,1571243,2026.09.17.,215,클릭,646,클릭당,100,2026.08.20.,진행 중,100,1,1,1000
F,4543516,F,1571243,2026.09.16.,237,클릭,610,클릭당,100,2026.08.20.,진행 중,100,1,1,1000
F,4543516,F,1571243,2026.09.15.,252,클릭,579,클릭당,100,2026.08.20.,진행 중,100,1,1,1000
F,4543516,F,1571243,2026.09.14.,243,클릭,600,클릭당,100,2026.08.20.,진행 중,100,1,2,1000
G,4502496,G,1548662,2026.09.20.,443,클릭,988,클릭당,100,2026.08.03.,진행 중,100,1,4,1000
G,4502496,G,1548662,2026.09.19.,477,클릭,923,클릭당,100,2026.08.03.,진행 중,100,1,1,1000
G,4502496,G,1548662,2026.09.18.,418,클릭,1061,클릭당,100,2026.08.03.,진행 중,100,1,1,1000
G,4502496,G,1548662,2026.09.17.,449,클릭,978,클릭당,100,2026.08.03.,진행 중,100,1,2,1000
G,4502496,G,1548662,2026.09.16.,466,클릭,931,클릭당,100,2026.08.03.,진행 중,100,1,2,1000
G,4502496,G,1548662,2026.09.15.,491,클릭,895,클릭당,100,2026.08.03.,진행 중,100,1,2,1000
G,4502496,G,1548662,2026.09.14.,461,클릭,963,클릭당,100,2026.08.03.,진행 중,100,1,5,1000
