상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,캠페인 이름,캠페인 ID,기간,캠페인 목적,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),구매완료 수,구매완료 전환매출액,총 전환율(%),총 광고수익률(%)
삼성 WD90F25CHBN1 비스포크 AI콤보 수납함 세트 세탁25kg 건조18kg 일체형,13561980399,91106490766,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4049,5,524,0.77,1,1000,0,0
삼성전자 식기세척기 인덕션 세트 1등급 14인용 대용량 AI 맞춤세척 DW80H73Y1UZ + NZ63DB607CFH,13467375760,91011886112,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,11905,5,1043,1.14,1,1000,2.44,6500.92
삼성 WF80H2422ACHS 비스포크AI 세탁기 24kg 건조기 22kg 오토오픈도어,13313410333,90857920665,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4947,5,766,0.65,1,1000,0,0
삼성 WD80H25BHY 비스포크 AI콤보 세탁25kg 건조18kg 26년형 일체형 1등급,13135789727,90680300819,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4518,5,1031,0.44,1,1000,8.43,27932.05
삼성 WF80H2422BDHW 비스포크AI 세탁기 24kg 건조기 22kg 세제자동투입,13104434824,90648945916,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,12677,5,763,1.66,1,1000,0,0
삼성 WD90H25BHBN1 비스포크 AI콤보 수납함 세트 세탁25kg 건조20kg 26년형 1등급,13104174800,90648685892,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,11774,5,1072,1.1,1,1000,15,57494.92
삼성 WD80H25BHYN1 비스포크 AI콤보 수납함 세트 세탁25kg 건조18kg 26년형 1등급,13104153125,90648664217,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,4472,5,737,0.61,1,1000,3.13,17799.69
삼성 WD90F25AHY 비스포크 AI콤보 세탁25kg 건조18kg 자동문열림 1등급,13104126163,90648637255,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,3709,5,701,0.53,1,1000,0,0
삼성 WH80H2420BBHS 비스포크 AI 원바디 24kg+20kg 세제자동투입 1등급,13104019925,90648531017,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,11947,5,1038,1.15,1,1000,5.88,22089.98
삼성 WH80H2420BBHY 비스포크 AI 원바디 24kg+20kg 세제자동투입 1등급,13104017249,90648528341,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,19516,5,1347,1.45,1,1000,0,0
삼성 WD80H25BHBN1 비스포크 AI콤보+허리사랑 수납함 25kg+18kg 1등급,13104011931,90648523023,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,12410,5,1084,1.14,1,1000,4.35,18241.74
삼성 WD90H25BHYN1 비스포크 AI콤보+허리사랑 수납함 25kg+20kg 1등급,13103999440,90648510532,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,10185,5,876,1.16,1,1000,0,0
삼성 비스포크 AI 얼음 정수기 냉온 직수 얼음 RWP90H15ANC 솝스톤차콜 음성인식,12936235661,90480746670,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,5244,5,1842,0.28,1,1000,0,0
삼성 비스포크 AI 얼음 정수기 냉온 직수 얼음 RWP90H15ANB 새틴베이지 음성인식,12936234647,90480745657,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,4019,5,3528,0.11,1,1000,0,0
삼성 비스포크 AI 얼음 정수기 냉온 직수 얼음 RWP90H15ANW 새틴그레이지 음성인식,12936233537,90480744547,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,20787,5,2294,0.91,1,1000,8.33,3263.02
삼성 얼음 정수기 비스포크 AI 얼음정수기 스탠드 예쁜 일시불 비스코프 직수 냉온 정수,12936230150,90480741160,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,2673,5,1159,0.23,1,1000,23.08,121858.54
삼성 비스포크 14인용 열풍 히든 AI식기세척기 필터내장형 DW80F75K1UAP 색상선택,12931276896,90475787906,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,5721,5,1127,0.51,1,1000,21.05,28222.82
삼성 WD90F25CHYN1 비스포크 AI콤보+허리사랑 수납함 25kg+18kg 1등급,12842942385,90387453377,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,9944,5,732,1.36,1,1000,0,0
삼성 냉장고 김치냉장고 키친핏 세트 푸드쇼케이스 RM70F63M2A RK70F42M2A,12583962077,90128472933,ADVoost 쇼핑_김치냉장고_평강프라자,1548613,2026.09.20.,ADVoost 쇼핑,100,100,18327,5,1104,1.66,1,1000,8.7,98808.23
삼성 키친핏 김치냉장고 313L 3도어 1등급 비스포크 RQ33DB74C1AP 코타화이트,12583930131,90128440987,ADVoost 쇼핑_김치냉장고_평강프라자,1548613,2026.09.20.,ADVoost 쇼핑,100,100,5568,5,1045,0.53,1,1000,4.88,29995.5
삼성 정수기 비스포크 AI 스탠드 예쁜 슬림 소형 일시불 비스코프 직수 냉온 커피정수기,12149083477,89693594182,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,8962,5,1881,0.48,1,1000,3.45,2092.03
삼성 비스포크 AI 정수기 냉온 직수 RWP70F15ANW 새틴 그레이지 음성인식 카운터탑,12149080721,89693591426,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,13475,5,1667,0.81,1,1000,3.13,2811.11
삼성 비스포크 AI 정수기 냉온 직수 RWP70F15ANC 솝스톤 차콜 음성인식 카운터탑,12149079624,89693590329,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,3430,5,880,0.39,1,1000,0,0
삼성 비스포크 AI 정수기 냉온 직수 RWP70F15ANB 새틴 베이지 음성인식 카운터탑,12149078121,89693588826,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,17069,5,3163,0.54,1,1000,14.29,5140.57
삼성 비스포크 6인용 식기세척기 카운터탑 DW30FB300CW0 화이트,12148186054,89692696759,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,8176,5,1050,0.78,1,1000,6.9,5399.12
